"HolderAddress","Balance","PendingBalanceUpdate"
"0x5611ab15f01c1dc099b7b1f158735131bf7a62bb","29501.1268234527","No"
"0x56582ee35025473ab6e4016cd10af56104c56bcd","99406.497","No"
"0x569972980de659f261bf4ce187341cbc126faff1","4085.92113277605","No"
"0x573e4f4537ac28796a79598600018a77c070a6a0","4282.62928781785","No"
"0x573ea6c6b19b1a829b16103c1d880902571d4ca0","31600","No"
"0x582cd79d81ea633dce8a44b2c05e49064dabdbc3","2059.476","No"
"0x583da1094d62ed1d385880e4b892722c6bc22d81","69154","No"
"0x5886ef63c636eadbf0f88874970a7a0df077ccb4","13423.071","No"
"0x588c3d7f52398884aec199a6ed08a29cf75b40ca","750000","No"
"0x58a100a76ce1f575cd2bc8b379195848cfa4b887","813.690695618541","No"
"0x58d3dcdc8c0fbe766d7bfe5e0b1a0b4795484059","1520.8381947919","No"
"0x58d8d35ef96f1774af37f8406c6aa8b218237c6e","1727040.66292708","No"
"0x59ebb1da6fc3de22ffb45e8d25eac7d5f4b0c668","1847","No"
"0x59f9b9b9e2f93100fd2d551a27c805197dda36ea","3384.60392873969","No"
"0x5a5dd6396457c63583249bf58f21d8f776078bef","11485.4335779392","No"
"0x5ac6a777379b846bbc6224f271fe04a80099864f","30047.288","No"
"0x5b06b44a66e5345661f6e4596f3a20da19eec1ee","10000","No"
"0x5b8688236e1473ec108ce373feaf99e215aec49a","16831.6956334605","No"
"0x5bec50d28d1baabcab7c2b774970b7f5a28945c4","3685.52411474904","No"
"0x5bf53e9e0e9240fd4b5280017b98c92af6ce0019","34734.6662603462","No"
"0x5c3c1ea84bd2e0e8ffb00d419c5c0a5748c094ab","46332.561","No"
"0x5c653fb1530adb3f907d00d4b2a0c556bef413bc","26093.338","No"
"0x5c824e88cd207c4316441a4f9f9e884b2569c2e0","10000000","No"
"0x5d01573e324f3e42b3a57de993fb27702542b246","64792.0059007782","No"
"0x5d2576de6e76ae06f5aea2b7ea54eeae152f767e","7276.38860208477","No"
"0x5d4d290dadda464a247f1efa91e67d2830f699e9","27488.1628705134","No"
"0x5d652586eef078ff80cd70292e602ca6e2a71ab8","20119","No"
"0x5d7a54a92f1217e5b0bd5770173828669400c74d","25023.0588257598","No"
"0x5db41644cb6d9a2032661b4d9a57fe81cb687c30","7719.733","No"
"0x5dcf300a52434930e441da7970ed488303caf490","20000","No"
"0x5df201a479d19e43cbdbff57ebdfa15243c4e8ec","2196105.24697339","No"
"0x5e28788c65c91e71f236323daa5ea002cacbc4a2","3500000","No"
